,year,state_fips_code,county_fips_code,pred_qty_oxy
284,2013,8,111,30875.805961506874
285,2013,8,57,24792.454584468953
286,2013,8,75,45404.5404985228
287,2013,8,83,50834.55833282136
288,2013,8,119,56442.84608185514
289,2013,8,13,302909.2080454995
290,2013,8,71,52676.67137756885
291,2013,8,73,43917.06535750155
292,2013,8,107,66632.01750496932
293,2013,8,3,56357.677782701
294,2013,8,19,32274.369959190382
295,2013,8,43,69714.84059443374
296,2013,17,179,167955.8482954807
297,2013,8,35,303163.4557165959
298,2013,8,37,75809.49192301814
299,2013,8,101,174101.86083483495
300,2013,8,85,67800.0117284396
301,2013,8,87,47852.587345412736
302,2013,8,93,42629.41333723265
303,2013,8,109,56740.64859513375
304,2013,8,77,172293.46960106358
305,2013,8,99,50592.94844855043
306,2013,8,53,23723.51068243749
307,2013,8,41,243450.30350640786
308,2013,8,121,25582.410579723786
309,2013,8,49,59689.362423097846
310,2013,8,5,244177.49850640784
311,2013,8,89,56446.99437961311
312,2013,8,14,105525.90185078092
313,2013,10,3,242373.54922069356
314,2013,10,5,173658.03151671868
315,2013,10,1,167270.81498745191
316,2013,11,1,457041.45696969697
317,2013,9,9,239596.82249137026
318,2013,9,5,157337.6110903528
319,2013,9,3,240784.43350640786
320,2013,9,11,163947.0142537552
321,2013,9,13,162294.56572337874
322,2013,9,1,424458.53799999994
323,2013,12,31,255664.74100072205
324,2013,12,7,44842.36265408743
325,2013,12,19,170155.39013979567
326,2013,12,67,44409.70175030532
327,2013,12,89,138923.03926505274
328,2013,12,103,245616.71021565422
329,2013,12,111,194232.56449376084
330,2013,12,51,65033.450090496175
331,2013,12,61,169516.32809326416
332,2013,12,99,244765.8954418841
333,2013,12,109,166154.12410821064
334,2013,12,86,233310.381630557
335,2013,12,35,152475.66679995554
336,2013,12,37,44022.79774866427
337,2013,12,47,49156.84522289406
338,2013,12,39,69921.58458380423
339,2013,12,59,56257.45856746149
340,2013,12,71,248564.8065007221
341,2013,12,83,193603.27196209083
342,2013,12,21,187221.7516002902
343,2013,12,93,63711.215465563815
344,2013,12,101,250152.7751673888
345,2013,12,55,142925.66120967577
346,2013,12,121,62671.72687230998
347,2013,12,27,61707.67952486788
348,2013,12,13,54295.322605247
349,2013,12,23,67514.44659443376
350,2013,12,29,56232.70747452804
351,2013,12,107,77518.22293710415
352,2013,12,125,44735.75453648665
353,2013,12,81,182941.24183017446
354,2013,12,75,66520.19664345335
355,2013,12,3,52049.38796712244
356,2013,12,127,246438.42864357925
357,2013,12,73,183495.26183423333
358,2013,12,79,56315.23620097323
359,2013,12,77,44921.95883760504
360,2013,12,119,153526.70259360634
361,2013,29,195,47964.495729279995
362,2013,29,227,24767.922317033164
363,2013,29,79,26121.941026191063
364,2013,29,141,56528.93203104491
365,2013,29,179,38725.924166562334
366,2013,29,189,243929.38579637383
367,2013,29,209,59586.16859443375
368,2013,29,9,56308.662827010296
369,2013,29,19,168423.485510632
370,2013,29,51,118487.44521107279
371,2013,29,55,45657.19156155824
372,2013,29,93,36816.36073303685
373,2013,29,117,33570.66404656463
374,2013,29,135,43297.94717854442
375,2013,29,155,55143.75897057139
376,2013,29,159,58762.377942214975
377,2013,29,203,37089.46840452135
378,2013,29,175,51146.139110355405
379,2013,29,69,60478.191834820405
380,2013,29,71,151519.4383939321
381,2013,29,89,34064.736514710195
382,2013,29,95,248774.9876771927
383,2013,29,131,59778.12656155824
384,2013,29,171,30979.337231342448
385,2013,29,213,70730.03609443374
386,2013,29,21,136316.67335256978
387,2013,29,25,28849.968515957145
388,2013,29,37,145601.24955086576
389,2013,29,49,45265.539650703104
390,2013,29,59,39856.51269180535
391,2013,29,85,38707.472846197175
392,2013,29,113,62190.82140842916
393,2013,29,137,32504.38268262382
394,2013,29,145,61546.84844221497
395,2013,29,163,45029.69730107955
396,2013,29,183,175991.74605570146
397,2013,29,31,85690.51860223014
398,2013,29,205,31154.96424893128
399,2013,29,225,54914.985227484656
400,2013,29,65,37527.456723782394
401,2013,29,5,24958.594777234142
402,2013,29,13,36781.843288717464
403,2013,29,15,39114.50933959357
404,2013,29,35,38348.58678543168
405,2013,29,57,32637.610999895664
406,2013,29,115,30693.15129822172
407,2013,29,91,66342.73264345335
